id,type,data,selected,parent_id,branch_level,child_id,child_index,palette_id,ch_input_id,ch_output_id,ch_last_updated,average,samples,aux_a_x,aux_a_y,aux_a_z,aux_b_x,aux_b_y,aux_b_z,color_shift,rotate_vec_x,rotate_vec_y,rotate_vec_z,rotate_vec_s,scale_x,scale_y,scale_z,translate_x,translate_y,translate_z,tag_offset_x,tag_offset_y,tag_offset_z,rotate_rate_x,rotate_rate_y,rotate_rate_z,rotate_x,rotate_y,rotate_z,scale_rate_x,scale_rate_y,scale_rate_z,translate_rate_x,translate_rate_y,translate_rate_z,translate_vec_x,translate_vec_y,translate_vec_z,shader,geometry,line_width,point_size,ratio,color_index,color_r,color_g,color_b,color_a,color_fade,texture_id,hide,freeze,topo,facet,auto_zoom_x,auto_zoom_y,auto_zoom_z,trigger_hi_x,trigger_hi_y,trigger_hi_z,trigger_lo_x,trigger_lo_y,trigger_lo_z,set_hi_x,set_hi_y,set_hi_z,set_lo_x,set_lo_y,set_lo_z,proximity_x,proximity_y,proximity_z,proximity_mode_x,proximity_mode_y,proximity_mode_z,segments_x,segments_y,segments_z,tag_mode,format_id,table_id,record_id,size
10723,5,10723,0,10722,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.25,0.25,0.25,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0.1,1,0,255,0,255,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16,16,0,0,0,0,0,420
10724,5,10724,0,10722,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.25,0.25,0.25,-15,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1,0,0.1,0,50,101,101,255,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16,16,0,0,0,0,0,420
10725,5,10725,0,10724,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.25,0.25,0.25,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0.1,0,50,101,101,255,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16,16,0,0,0,939281,2252,420
41,5,41,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.25,0.25,0.25,2.75,9.75,0,0,0,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0,0.1,0,50,101,101,255,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16,16,0,0,0,888444,7,420
10746,5,10746,0,41,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.25,0.25,0.25,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0.1,0,50,101,101,255,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16,16,0,0,0,939281,2263,420
10747,5,10747,0,10746,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.25,0.25,0.25,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0.1,1,0,255,0,255,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16,16,0,0,0,0,0,420
10748,5,10748,0,10746,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.25,0.25,0.25,-15,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1,0,0.1,0,50,101,101,255,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16,16,0,0,0,0,0,420
10749,5,10749,0,10748,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.25,0.25,0.25,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0.1,0,50,101,101,255,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16,16,0,0,0,939281,2264,420
20863,5,20863,0,10746,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.01011,0.01011,0.01011,-30,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0.1,0,50,101,101,255,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16,16,0,0,0,667667667,702,420
42,5,42,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.25,0.25,0.25,2.51667,6.61667,0,0,0,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0,0.1,0,50,101,101,255,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16,16,0,0,0,888444,8,420
43,5,43,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.25,0.25,0.25,2.91667,11.33333,0,0,0,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0,0.1,0,50,101,101,255,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16,16,0,0,0,888444,9,420
44,5,44,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.25,0.25,0.25,1.83333,6.58333,0,0,0,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0,0.1,0,50,101,101,255,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16,16,0,0,0,888444,10,420
45,5,45,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.25,0.25,0.25,1.66667,10.75,0,0,0,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0,0.1,0,50,101,101,255,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16,16,0,0,0,888444,11,420
46,5,46,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.25,0.25,0.25,2.25,6.66667,0,0,0,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0,0.1,0,50,101,101,255,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16,16,0,0,0,888444,12,420
47,5,47,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.25,0.25,0.25,15.06666,12.11666,0,0,0,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0,0.1,0,50,101,101,255,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16,16,0,0,0,888444,13,420
10766,5,10766,0,47,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.25,0.25,0.25,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0.1,12,50,101,101,255,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16,16,0,0,0,939281,2273,420
10767,5,10767,0,10766,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.25,0.25,0.25,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0.1,0,50,101,101,255,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16,16,0,0,0,0,0,420
10768,5,10768,0,10766,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.25,0.25,0.25,-15,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1,0,0.1,0,50,101,101,255,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16,16,0,0,0,0,0,420
10769,5,10769,0,10768,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.25,0.25,0.25,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.1,0,50,101,101,255,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16,16,0,0,0,939281,2274,420
20866,5,20866,0,10766,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3.816922,3.816922,3.816922,-30,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0.1,0,50,101,101,255,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16,16,0,0,0,667667667,705,420
48,5,48,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.25,0.25,0.25,23.75,-17.83333,0,0,0,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0,0.1,0,50,101,101,255,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16,16,0,0,0,888444,14,420
